model_name,layer_idx,layer_name,num_units,dead_pct,near_zero_pct,mean,std,min_val,max_val,always_off_gate_pct,selective_gate_pct
gelu,0,TR_Blocks.0.MLP,3072,0.000000,0.087442,-0.001448,0.051255,-0.169971,3.574688,,
gelu,1,TR_Blocks.1.MLP,3072,0.000000,4.111274,-0.016448,0.111310,-0.169971,7.461021,,
gelu,2,TR_Blocks.2.MLP,3072,0.000000,8.327077,-0.010184,0.104175,-0.169971,4.710867,,
gelu,3,TR_Blocks.3.MLP,3072,0.000000,7.771327,-0.010796,0.108958,-0.169971,4.757201,,
gelu,4,TR_Blocks.4.MLP,3072,0.000000,7.017911,-0.014312,0.110329,-0.169971,6.402352,,
gelu,5,TR_Blocks.5.MLP,3072,0.000000,7.919838,-0.014527,0.114995,-0.169971,8.393377,,
gelu,6,TR_Blocks.6.MLP,3072,0.000000,7.965944,-0.015921,0.115808,-0.169971,7.140917,,
gelu,7,TR_Blocks.7.MLP,3072,0.000000,4.944304,-0.019458,0.131935,-0.169971,6.483206,,
gelu,8,TR_Blocks.8.MLP,3072,0.000000,3.042760,-0.020760,0.148436,-0.169971,6.679424,,
gelu,9,TR_Blocks.9.MLP,3072,0.000000,1.219450,-0.023285,0.177690,-0.169971,6.979859,,
gelu,10,TR_Blocks.10.MLP,3072,0.000000,1.163935,-0.018075,0.200389,-0.169971,7.396432,,
gelu,11,TR_Blocks.11.MLP,3072,0.000000,0.453154,-0.012948,0.227672,-0.169971,9.470293,,
relu,0,TR_Blocks.0.MLP,3072,12.792969,44.051058,0.048877,0.071619,0.000000,5.180879,,
relu,1,TR_Blocks.1.MLP,3072,54.785156,91.860648,0.025126,0.113354,0.000000,5.825370,,
relu,2,TR_Blocks.2.MLP,3072,50.227863,97.013240,0.010199,0.078993,0.000000,7.613868,,
relu,3,TR_Blocks.3.MLP,3072,41.992188,97.585962,0.008816,0.077848,0.000000,7.739994,,
relu,4,TR_Blocks.4.MLP,3072,38.281250,98.035264,0.007882,0.077348,0.000000,9.566434,,
relu,5,TR_Blocks.5.MLP,3072,28.515625,97.912035,0.009336,0.088459,0.000000,10.052125,,
relu,6,TR_Blocks.6.MLP,3072,13.216145,97.129828,0.014261,0.114289,0.000000,10.633790,,
relu,7,TR_Blocks.7.MLP,3072,2.246094,95.894824,0.021867,0.144730,0.000000,10.199244,,
relu,8,TR_Blocks.8.MLP,3072,0.162760,94.635275,0.030066,0.172854,0.000000,10.101978,,
relu,9,TR_Blocks.9.MLP,3072,0.032552,93.929185,0.040719,0.218828,0.000000,9.636990,,
relu,10,TR_Blocks.10.MLP,3072,0.000000,93.316125,0.054711,0.280332,0.000000,12.436702,,
relu,11,TR_Blocks.11.MLP,3072,0.000000,90.485574,0.067683,0.291060,0.000000,15.816165,,
swiglu,0,TR_Blocks.0.MLP,2048,0.000000,0.001147,-0.003138,0.236413,-7.239704,5.599099,20.654297,55.810547
swiglu,1,TR_Blocks.1.MLP,2048,0.000000,0.001913,-0.000602,0.140323,-8.222838,5.977991,25.048828,72.802734
swiglu,2,TR_Blocks.2.MLP,2048,0.000000,0.008073,-0.000986,0.123086,-5.816607,6.409016,33.251953,64.404297
swiglu,3,TR_Blocks.3.MLP,2048,0.000000,0.001302,-0.001941,0.166476,-47.285049,27.854353,16.601562,81.640625
swiglu,4,TR_Blocks.4.MLP,2048,0.000000,0.001836,-0.000540,0.231404,-40.192532,22.025656,6.835938,93.017578
swiglu,5,TR_Blocks.5.MLP,2048,0.000000,0.001988,0.000095,0.262925,-38.970722,26.297598,0.097656,99.902344
swiglu,6,TR_Blocks.6.MLP,2048,0.000000,0.001723,0.000392,0.309703,-23.738874,33.040249,0.000000,100.000000
swiglu,7,TR_Blocks.7.MLP,2048,0.000000,0.001417,-0.000057,0.373445,-34.792374,39.004162,0.000000,100.000000
swiglu,8,TR_Blocks.8.MLP,2048,0.000000,0.001196,0.000007,0.441887,-42.650047,47.060009,0.000000,100.000000
swiglu,9,TR_Blocks.9.MLP,2048,0.000000,0.001067,0.000740,0.533342,-46.207161,47.508217,0.000000,100.000000
swiglu,10,TR_Blocks.10.MLP,2048,0.000000,0.000814,0.001753,0.759495,-63.032249,89.146027,0.000000,100.000000
swiglu,11,TR_Blocks.11.MLP,2048,0.000000,0.000746,-0.001962,0.904073,-90.527626,103.702995,0.048828,99.951172
